device_id,device_type,data_type,data_size_kb,sampling_rate_hz,encryption_algorithm,key_size_bits,key_rotation_days,data_age_years,expected_retention_years,confidentiality_level,regulatory_requirement,access_frequency,risk_label,compliance_score,device_uptime_days
location_tracker_00000,location_tracker,gps_coordinates,53.43,0.265,ECC-256,256,90,1.33,3.4,high,"GDPR, CCPA",rarely,high,0.8049852710049118,1472
location_tracker_00001,location_tracker,speed,62.56,0.119,ECC-384,384,1825,0.11,9.9,high,"GDPR, CCPA",hourly,high,0.9804914753774076,2161
location_tracker_00002,location_tracker,altitude,36.73,0.572,RSA-2048,2048,180,3.26,3.3,high,"GDPR, CCPA",monthly,high,0.7398792520189595,1552
industrial_monitor_00003,industrial_monitor,temperature,177.74,56.281,RSA-2048,2048,180,5.47,9.5,high,"ISO27001, NIST",daily,critical,0.9333173085058473,2631
location_tracker_00004,location_tracker,gps_coordinates,54.8,0.969,RSA-2048,2048,730,1.92,4.7,high,"GDPR, CCPA",monthly,high,0.9877676343565448,890
location_tracker_00005,location_tracker,gps_coordinates,24.32,0.85,RSA-3072,3072,90,5.33,5.2,high,"GDPR, CCPA",daily,medium,0.987092493792705,1657
location_tracker_00006,location_tracker,altitude,56.43,0.128,RSA-3072,3072,90,7.17,7.2,high,"GDPR, CCPA",monthly,high,0.7768610654247665,1469
health_monitor_00007,health_monitor,blood_pressure,69.31,3.928,RSA-2048,2048,730,4.74,29.3,critical,"HIPAA, GDPR",monthly,critical,0.7889401622892652,1637
location_tracker_00008,location_tracker,gps_coordinates,54.51,0.227,RSA-2048,2048,30,6.2,4.4,high,"GDPR, CCPA",weekly,high,0.7448455398612347,1101
industrial_monitor_00009,industrial_monitor,pressure,215.71,74.021,ECC-256,256,90,2.93,6.2,high,"ISO27001, NIST",hourly,high,0.8117912274112029,1514
location_tracker_00010,location_tracker,altitude,33.8,0.186,ECC-256,256,730,5.86,7.5,high,"GDPR, CCPA",weekly,high,0.9046284709692934,1919
industrial_monitor_00011,industrial_monitor,pressure,250.57,44.463,ECC-384,384,730,4.53,12.7,high,"ISO27001, NIST",weekly,high,0.7032269414383439,268
health_monitor_00012,health_monitor,spo2,34.44,4.848,RSA-2048,2048,30,2.58,20.2,critical,"HIPAA, GDPR",rarely,critical,0.8950922444907163,232
environmental_sensor_00013,environmental_sensor,particulate_matter,26.98,0.078,RSA-2048,2048,180,5.59,6.4,low,None,daily,medium,0.7053480321505661,1309
environmental_sensor_00014,environmental_sensor,co2,57.83,0.067,ECC-384,384,365,3.39,6.4,low,None,daily,low,0.9002209516759702,1589
location_tracker_00015,location_tracker,gps_coordinates,21.28,0.386,RSA-2048,2048,1825,0.1,5.5,high,"GDPR, CCPA",weekly,high,0.9521286633765917,2529
industrial_monitor_00016,industrial_monitor,pressure,196.95,53.635,RSA-2048,2048,180,2.65,10.2,high,"ISO27001, NIST",hourly,critical,0.8080482264603623,1473
location_tracker_00017,location_tracker,gps_coordinates,28.19,0.158,RSA-2048,2048,90,5.73,4.0,high,"GDPR, CCPA",hourly,critical,0.8219872842636701,2271
industrial_monitor_00018,industrial_monitor,pressure,142.92,97.895,RSA-2048,2048,30,5.11,11.8,high,"ISO27001, NIST",rarely,critical,0.9182955805004533,1275
location_tracker_00019,location_tracker,altitude,27.62,0.987,ECC-256,256,180,3.02,4.7,high,"GDPR, CCPA",rarely,high,0.9427818484760696,709
location_tracker_00020,location_tracker,altitude,41.72,0.67,RSA-2048,2048,30,1.29,6.6,high,"GDPR, CCPA",rarely,high,0.9998940150594151,1251
industrial_monitor_00021,industrial_monitor,temperature,106.29,39.336,ECC-256,256,180,2.85,6.0,high,"ISO27001, NIST",hourly,high,0.8621827771001463,1799
health_monitor_00022,health_monitor,temperature,121.93,4.481,RSA-2048,2048,365,5.91,14.2,critical,"HIPAA, GDPR",daily,critical,0.9563750851249837,2702
industrial_monitor_00023,industrial_monitor,flow_rate,220.91,69.399,ECC-256,256,365,2.16,15.0,high,"ISO27001, NIST",monthly,critical,0.7168347309523457,2852
environmental_sensor_00024,environmental_sensor,air_quality,25.06,0.089,RSA-2048,2048,180,5.84,6.5,low,None,hourly,medium,0.7321255838933274,1105
location_tracker_00025,location_tracker,speed,53.7,0.942,ECC-256,256,1825,0.17,3.7,high,"GDPR, CCPA",weekly,high,0.9611248242306467,874
health_monitor_00026,health_monitor,heart_rate,61.31,3.555,RSA-3072,3072,180,5.25,14.5,critical,"HIPAA, GDPR",hourly,critical,0.8135298013513337,1864
location_tracker_00027,location_tracker,gps_coordinates,24.58,0.545,RSA-3072,3072,180,5.3,7.0,high,"GDPR, CCPA",monthly,high,0.7678169911914074,1777
industrial_monitor_00028,industrial_monitor,flow_rate,112.09,67.27,ECC-256,256,1825,3.21,13.9,high,"ISO27001, NIST",weekly,critical,0.821570365594988,930
industrial_monitor_00029,industrial_monitor,vibration,187.86,41.507,ECC-256,256,30,1.64,12.2,high,"ISO27001, NIST",weekly,critical,0.8576854439681649,1816
location_tracker_00030,location_tracker,speed,18.09,0.792,AES-256,256,1825,7.64,9.4,high,"GDPR, CCPA",weekly,high,0.7972327989251564,1461
location_tracker_00031,location_tracker,gps_coordinates,31.88,0.958,ECC-256,256,180,7.84,3.5,high,"GDPR, CCPA",rarely,high,0.7592962289060422,71
environmental_sensor_00032,environmental_sensor,noise,31.21,0.087,RSA-2048,2048,30,3.22,6.2,low,None,weekly,low,0.7111015828522697,2623
smart_home_sensor_00033,smart_home_sensor,door_status,16.61,0.704,RSA-2048,2048,90,7.03,4.0,low,GDPR,hourly,medium,0.9302765104478685,2548
health_monitor_00034,health_monitor,spo2,85.07,7.38,RSA-2048,2048,90,6.5,27.3,critical,"HIPAA, GDPR",rarely,critical,0.9711927455810034,2406
location_tracker_00035,location_tracker,altitude,46.14,0.105,RSA-2048,2048,1825,6.39,9.2,high,"GDPR, CCPA",monthly,critical,0.7051628448313477,2588
smart_home_sensor_00036,smart_home_sensor,humidity,24.13,0.495,RSA-2048,2048,90,4.39,2.1,low,GDPR,daily,medium,0.804839352262775,1045
smart_home_sensor_00037,smart_home_sensor,humidity,8.93,0.325,RSA-2048,2048,180,1.1,3.1,low,GDPR,rarely,medium,0.9677995577460614,1847
location_tracker_00038,location_tracker,gps_coordinates,56.42,0.512,RSA-2048,2048,1825,4.37,7.5,high,"GDPR, CCPA",monthly,high,0.7062017440803827,1783
environmental_sensor_00039,environmental_sensor,co2,31.5,0.056,ECC-256,256,180,3.57,2.4,low,None,rarely,low,0.919443862566264,367
smart_home_sensor_00040,smart_home_sensor,temperature,18.28,0.173,ECC-256,256,30,1.47,1.6,low,GDPR,daily,medium,0.7729890482914816,961
health_monitor_00041,health_monitor,temperature,93.27,9.412,RSA-4096,4096,730,4.93,18.4,critical,"HIPAA, GDPR",monthly,critical,0.9319100411777894,302
smart_home_sensor_00042,smart_home_sensor,door_status,10.88,0.243,RSA-2048,2048,365,0.46,1.2,low,GDPR,monthly,medium,0.9037789498903892,2332
environmental_sensor_00043,environmental_sensor,noise,52.64,0.012,ECC-384,384,365,1.47,4.2,low,None,daily,low,0.982362942662963,1571
smart_home_sensor_00044,smart_home_sensor,humidity,9.09,0.672,RSA-3072,3072,90,7.47,3.0,low,GDPR,rarely,medium,0.7919868069086632,1087
environmental_sensor_00045,environmental_sensor,noise,61.31,0.065,ECC-384,384,365,4.73,6.7,low,None,monthly,low,0.7454671888187331,3410
smart_home_sensor_00046,smart_home_sensor,motion,19.0,0.679,RSA-4096,4096,730,5.04,4.3,low,GDPR,daily,medium,0.848511249158297,2684
industrial_monitor_00047,industrial_monitor,temperature,105.2,34.657,RSA-3072,3072,730,0.85,11.8,high,"ISO27001, NIST",hourly,critical,0.9954485111232328,3266
smart_home_sensor_00048,smart_home_sensor,door_status,24.36,0.447,RSA-2048,2048,180,2.33,1.5,low,GDPR,rarely,medium,0.712126089776447,2737
smart_home_sensor_00049,smart_home_sensor,temperature,8.94,0.943,RSA-3072,3072,730,2.33,1.7,low,GDPR,hourly,low,0.7535127491827206,533
industrial_monitor_00050,industrial_monitor,pressure,88.52,75.848,RSA-2048,2048,1825,4.54,7.4,high,"ISO27001, NIST",rarely,high,0.9571832292617747,983
health_monitor_00051,health_monitor,spo2,118.65,1.928,RSA-4096,4096,30,2.63,27.9,critical,"HIPAA, GDPR",hourly,critical,0.90588991136259,3604
location_tracker_00052,location_tracker,gps_coordinates,20.38,0.915,RSA-2048,2048,1825,5.45,6.4,high,"GDPR, CCPA",daily,high,0.8274724709692738,1257
environmental_sensor_00053,environmental_sensor,air_quality,31.78,0.036,ECC-256,256,365,7.57,5.9,low,None,rarely,high,0.8480973763049138,3288
environmental_sensor_00054,environmental_sensor,co2,63.8,0.098,RSA-2048,2048,180,7.11,3.8,low,None,daily,medium,0.7767410242297719,2728
location_tracker_00055,location_tracker,gps_coordinates,45.67,0.785,RSA-2048,2048,1825,5.64,3.5,high,"GDPR, CCPA",daily,high,0.9887347078064306,1659
industrial_monitor_00056,industrial_monitor,vibration,162.56,23.194,RSA-2048,2048,730,3.03,13.1,high,"ISO27001, NIST",hourly,critical,0.8029090628231956,2191
environmental_sensor_00057,environmental_sensor,noise,49.99,0.042,RSA-3072,3072,365,4.51,4.1,low,None,daily,medium,0.8139603011371428,1605
industrial_monitor_00058,industrial_monitor,flow_rate,112.71,49.101,RSA-3072,3072,1825,0.54,6.2,high,"ISO27001, NIST",rarely,high,0.8407204280392282,2795
health_monitor_00059,health_monitor,spo2,88.0,7.714,AES-256,256,365,2.36,27.4,critical,"HIPAA, GDPR",rarely,high,0.7640945444808884,2187
smart_home_sensor_00060,smart_home_sensor,door_status,21.34,0.98,RSA-2048,2048,1825,7.4,4.7,low,GDPR,monthly,high,0.758946114117581,2866
industrial_monitor_00061,industrial_monitor,flow_rate,164.43,97.237,ECC-256,256,1825,2.43,15.0,high,"ISO27001, NIST",weekly,critical,0.8801921336662665,3101
health_monitor_00062,health_monitor,spo2,123.24,3.529,ECC-384,384,365,0.94,16.7,critical,"HIPAA, GDPR",daily,high,0.9324098473488829,2292
location_tracker_00063,location_tracker,altitude,27.01,0.449,RSA-2048,2048,730,7.8,9.9,high,"GDPR, CCPA",hourly,critical,0.925650938367171,641
health_monitor_00064,health_monitor,heart_rate,89.87,4.701,RSA-2048,2048,730,7.3,26.5,critical,"HIPAA, GDPR",daily,critical,0.8696835710446801,2786
industrial_monitor_00065,industrial_monitor,temperature,240.48,62.305,RSA-2048,2048,1825,6.94,5.5,high,"ISO27001, NIST",hourly,high,0.8916762765141957,523
health_monitor_00066,health_monitor,blood_pressure,46.44,9.885,ECC-256,256,30,7.76,26.8,critical,"HIPAA, GDPR",rarely,critical,0.8691075691500201,1867
health_monitor_00067,health_monitor,blood_pressure,44.85,1.331,RSA-2048,2048,1825,5.56,20.7,critical,"HIPAA, GDPR",rarely,critical,0.9624782433049855,2400
industrial_monitor_00068,industrial_monitor,pressure,203.42,62.663,ECC-256,256,180,2.05,9.5,high,"ISO27001, NIST",hourly,critical,0.8162315542322983,445
industrial_monitor_00069,industrial_monitor,pressure,107.9,64.556,ECC-256,256,90,2.93,6.1,high,"ISO27001, NIST",daily,high,0.7369883397754241,33
smart_home_sensor_00070,smart_home_sensor,humidity,27.95,0.529,RSA-2048,2048,30,4.46,3.2,low,GDPR,weekly,high,0.8306486662830472,2961
health_monitor_00071,health_monitor,heart_rate,34.76,2.206,ECC-256,256,730,5.15,26.1,critical,"HIPAA, GDPR",monthly,critical,0.9612375019023823,516
smart_home_sensor_00072,smart_home_sensor,humidity,23.28,0.647,ECC-256,256,180,7.24,2.4,low,GDPR,hourly,medium,0.9702345985496357,3511
location_tracker_00073,location_tracker,altitude,57.39,0.66,ECC-384,384,365,3.73,8.9,high,"GDPR, CCPA",hourly,high,0.8768463192234195,663
location_tracker_00074,location_tracker,gps_coordinates,39.65,0.982,RSA-2048,2048,180,4.68,5.4,high,"GDPR, CCPA",hourly,high,0.7186715408819372,3431
industrial_monitor_00075,industrial_monitor,vibration,98.57,72.79,ECC-256,256,30,7.18,9.7,high,"ISO27001, NIST",rarely,critical,0.9167066533700947,1769
